"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.10595298027624e-171,0.709715602830933,0.579,0.415,2.12232376915011e-167,"1","NTAN1"
4.52766354264509e-171,0.456946257949098,0.862,0.765,8.68858633833592e-167,"1","ITGB1BP1"
1.22208701494657e-170,0.513252208450136,0.779,0.642,2.34518498168246e-166,"1","PSMC3"
3.62502733905276e-169,0.294704979627218,0.971,0.948,6.95642746364225e-165,"1","RAC1"
1.81641477317405e-168,0.277089547591739,0.987,0.966,3.485699949721e-164,"1","LSM3"
8.0313351243386e-167,0.954355413542619,0.387,0.228,1.54121321036058e-162,"1","BEX2"
2.19278046167913e-165,0.511197237864917,0.795,0.666,4.20794570596225e-161,"1","GMNN"
1.88751347892294e-162,0.426997420489995,0.894,0.791,3.62213836605312e-158,"1","SLBP"
2.45337009663889e-161,0.403372969419036,0.88,0.81,4.70801721545003e-157,"1","ADRM1"
8.00339202421909e-161,0.313792206338785,0.962,0.931,1.53585092944764e-156,"1","RBM17"
4.98514817373352e-160,0.267722471773738,0.99,0.978,9.56649934539462e-156,"1","SOD1"
8.85595330294964e-159,0.319092121147471,0.966,0.932,1.69945743883604e-154,"1","SNRPD3"
2.39965092385658e-158,0.592649596713515,0.7,0.559,4.60493012288078e-154,"1","RPA3"
2.73923389150001e-157,0.272925425984994,0.981,0.961,5.25658983778851e-153,"1","PCBP1"
1.01276918946695e-156,0.655181637203014,0.644,0.489,1.94350407458707e-152,"1","DLK1"
1.3288312327783e-155,0.912234648172441,0.362,0.21,2.55002713570156e-151,"1","C1orf21"
3.11296518130065e-154,0.391369617665498,0.911,0.842,5.97378018291594e-150,"1","UBXN4"
4.19490274188279e-154,0.514425988831898,0.723,0.574,8.05001836167307e-150,"1","NRGN"
8.2575732999582e-154,0.296010735873327,0.982,0.957,1.58462831626198e-149,"1","ARPC5"
1.39717143150684e-153,0.294669799620264,0.978,0.958,2.68117197706162e-149,"1","TUFM"
6.52472874095306e-153,0.618603296135297,0.59,0.431,1.25209544538889e-148,"1","ITM2C"
1.28581237477639e-152,0.366484076118464,0.96,0.915,2.4674739471959e-148,"1","FABP5"
1.55640261661292e-152,0.813418254868722,0.335,0.188,2.9867366212802e-148,"1","CRHBP"
4.43957023397238e-152,0.401454275414841,0.876,0.802,8.51953527899301e-148,"1","VPS29"
